ID;location;depth;habitat_certainty;lat;lon
151;Dublin;;HH;53.35253;-6.16502
152;Maldon;;HH;51.72778;0.76379
153;Orkney;;HH;59.02309;-3.05119
154;Pont-Burnham;;HH;51.63873;0.78203
155;Tees;;LH;54.64789;-1.14244
156;Waterford;;HH;52.23094;-6.95278
157;Belfast_Lough;;HH;54.67368;-5.89594
158;Cantabria;;HH;43.33456;-4.44257
159;Helford_estuary;;HH;50.09621;-5.16338
160;Whitstable;;HH;51.38272;0.97891
161;Loch_Ryan;;HH;54.96352;-5.04939
162;La_Barca;;HH;;
163;San_Vicente_de_la_Barquera;;HH;;
164;Laxey,_Isle_of_Man;;HH;54.22863;-4.30697
165;Culloden;;HH;57.53196;-4.21768
166;Loch_Ryan;;HH;54.96352;-5.04939
167;Cantabria;;HH;43.46827;-3.47033
168;Cromarty_Firth;;HH;57.72538;-4.12202
169;Loch_Craignish;;HH;56.18869;-5.52992
170;Loch_Crinan;;HH;56.10125;-5.4944
171;Wexford;;HH;52.3127;-6.37986
172;Jura;;HH;55.95531;-5.92917
173;Kirkcudbright;;HH;54.80837;-4.03582
174;Loch_Tarbert;;HH;55.73223;-5.51007
175;Shetland;;HH;60.09154;-1.27932
176;Shetland;;HH;60.54913;-1.25216
177;Loch_Einart;;HH;57.19677;-6.29451
178;Strangford_Lough;;HH;54.43105;-5.64219
179;Firth_of_Forth;;HH;55.98306;-3.31571
180;Firth_of_Forth;;HH;55.9114;-3.12806
181;English_Channel;;HH;48.94296;-1.87996
182;Island_of_Lewis;;HH;58.1996;-7.10595
183;Stronsay_Firth;;HH;59.15971;-2.56949
185;Loch_Grishernish;;HH;57.45825;-6.41162
186;Kyle_of_Scalpa;intertidal;HH;57.34417;-5.84746
187;Kattegat;20_m;HH;57.03207;10.55617
188;Juist;;HH;53.66814;6.87971
189;Borkum;;HH;53.57442;6.73546
191;South_of_Texel;;HH;53.0644;4.98066
192;Vlieland;;HH;53.24977;5.10925
193;Terschelling;;HH;53.35116;5.39875
194;Ringhaddy,_Strangford_Lough;;HH;54.43105;-5.64219
195;Cantabria;;HH;43.37967;-3.44962
196;Puffin_Island;;HH;53.24468;-4.12608
197;Belfast_Lough;shore;HH;54.67368;-5.89594
198;Arklow;;HH;52.72161;-6.07866
199;Carrigline_River;;HH;51.8189;-8.44487
200;Jersey;;HH;49.29731;-1.96682
201;Shannon_Estuary;;HH;52.5661;-9.53424
202;Wexford_Harbour;;HH;52.3127;-6.37986
203;Belfast_Lough;;HH;54.67368;-5.89594
205;Helford_estuary;;HH;50.09621;-5.16338
206;Saltash;;HH;50.39752;-4.25382
207;Shoreham;;HH;50.81901;-0.34435
210;Tavy-Tail;;HH;50.41485;-4.11535
212;Swansea_Bay;;HH;51.52218;-4.02025
213;Swansea_Bay;;HH;51.52218;-4.02025
214;Swansea_Bay;;HH;51.52218;-4.02025
215;Swansea_Bay;;HH;51.52218;-4.02025
216;Swansea_Bay;;HH;51.52218;-4.02025
217;Swansea_Bay;;HH;51.52218;-4.02025
218;Swansea_Bay;;HH;51.52218;-4.02025
219;Swansea_Bay;;HH;51.52218;-4.02025
220;Swansea_Bay;;HH;51.52218;-4.02025
221;Swansea_Bay;;HH;51.52218;-4.02025
222;Swansea_Bay;;HH;51.52218;-4.02025
223;Swansea_Bay;;HH;51.52218;-4.02025
224;Swansea_Bay;;HH;51.52218;-4.02025
225;Swansea_Bay;;HH;51.52218;-4.02025
226;Swansea_Bay;;HH;51.52218;-4.02025
227;Swansea_Bay;;HH;51.52218;-4.02025
228;Swansea_Bay;;HH;51.52218;-4.02025
229;Swansea_Bay;;HH;51.52218;-4.02025
230;Swansea_Bay;;HH;51.52218;-4.02025
231;Swansea_Bay;;HH;51.52218;-4.02025
232;Swansea_Bay;;HH;51.52218;-4.02025
233;Swansea_Bay;;HH;51.52218;-4.02025
234;Swansea_Bay;;HH;51.53928;-3.87836
235;Swansea_Bay;;HH;51.53928;-3.87836
236;Swansea_Bay;;HH;51.53928;-3.87836
237;Swansea_Bay;;HH;51.53928;-3.87836
238;Swansea_Bay;;HH;51.53928;-3.87836
239;Swansea_Bay;;HH;51.53928;-3.87836
240;Swansea_Bay;;HH;51.53928;-3.87836
241;Swansea_Bay;;HH;51.53928;-3.87836
242;Swansea_Bay;;HH;51.53928;-3.87836
243;Swansea_Bay;;HH;51.53928;-3.87836
244;Swansea_Bay;;HH;51.53928;-3.87836
245;Swansea_Bay;;HH;51.53928;-3.87836
246;Swansea_Bay;;HH;51.53928;-3.87836
247;Swansea_Bay;;HH;51.53928;-3.87836
248;Swansea_Bay;;HH;51.53928;-3.87836
249;Swansea_Bay;;HH;51.53928;-3.87836
250;Swansea_Bay;;HH;51.53928;-3.87836
251;Swansea_Bay;;HH;51.53928;-3.87836
252;Swansea_Bay;;HH;51.53928;-3.87836
253;Swansea_Bay;;HH;51.53928;-3.87836
254;Swansea_Bay;;HH;51.53928;-3.87836
255;Swansea_Bay;;HH;51.53928;-3.87836
256;Swansea_Bay;;HH;51.53928;-3.87836
257;Tenby_and_Caldy_Island;;HH;51.60963;-4.78608
258;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
259;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
260;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
261;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
262;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
263;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
264;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
265;Pembroke_Reach;;HH;51.67913;-4.95729
266;Pembroke_Reach;;HH;51.67913;-4.95729
267;Pembroke_Reach;;HH;51.67913;-4.95729
268;Pembroke_Reach;;HH;51.67913;-4.95729
269;Pembroke_Reach;;HH;51.67913;-4.95729
270;Pembroke_Reach;;HH;51.67913;-4.95729
271;Milford_Haven;;HH;51.67913;-4.95729
272;Milford_Haven;;HH;51.67913;-4.95729
273;Milford_Haven;;HH;51.67913;-4.95729
274;Milford_Haven;;HH;51.67913;-4.95729
275;Milford_Haven;;HH;51.67913;-4.95729
276;Milford_Haven;;HH;51.67913;-4.95729
277;Milford_Haven;;HH;51.67913;-4.95729
278;Milford_Haven;;HH;51.67913;-4.95729
