nr_in_paper;country;location;status;year_of_screening;source;lat;lon
58;Netherlands;IJmuiden;infected;2017;J._Groot,_personal_communication,_2017;52.468800;4.553321
59;Netherlands;Wadden_Sea;uncertain;na;P._Jacobs_at_al.,_to_be_submitted;53.200273;4.822889
60;Netherlands;Borkum_Reef;free;na;E._Reuchlin,_personal_communication,_2018;53.713981;6.548695
61;Netherlands;Gemini_Windfarm;free;na;E._Reuchlin,_personal_communication,_2018;54.032230;6.102207
62;France;Baie_du_Mont_Saint_Michel_;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";49.316040;-1.811174
63.1;France;Brittany1;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.709561;-1.850271
63.2;France;Brittany2;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.697882;-1.918045
63.3;France;Brittany3;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.687910;-1.985337
63.4;France;Brittany4;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.654809;-2.033058
63.5;France;Brittany5;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.642588;-2.098787
63.6;France;Brittany6;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.634194;-2.166078
63.7;France;Brittany7;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.646671;-2.230623
63.8;France;Brittany8;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.675925;-2.282121
63.9;France;Brittany9;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.674338;-2.349413
63.10;France;Brittany10;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.663001;-2.416360
63.11;France;Brittany11;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.649393;-2.483308
63.12;France;Brittany12;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.617398;-2.527929
63.13;France;Brittany13;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.588211;-2.579897
63.14;France;Brittany14;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.562181;-2.637280
63.15;France;Brittany15;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.574854;-2.702659
63.16;France;Brittany16;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.602288;-2.756533
63.17;France;Brittany17;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.641918;-2.791172
63.18;France;Brittany18;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.679098;-2.833805
63.19;France;Brittany19;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.715810;-2.874106
63.20;France;Brittany20;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.755351;-2.911076
63.21;France;Brittany21;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.793763;-2.950378
63.22;France;Brittany22;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.825569;-2.999006
63.23;France;Brittany23;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.855381;-3.051298
63.24;France;Brittany24;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.875320;-3.114914
63.25;France;Brittany25;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.889118;-3.180861
63.26;France;Brittany26;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.881857;-3.249527
63.27;France;Brittany27;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.867837;-3.316140
63.28;France;Brittany28;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.842197;-3.375093
63.29;France;Brittany29;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.843512;-3.443372
63.30;France;Brittany30;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.847239;-3.513316
63.31;France;Brittany31;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.823781;-3.572935
63.32;France;Brittany32;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.784513;-3.608574
63.33;France;Brittany33;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.740603;-3.589922
63.34;France;Brittany34;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.715959;-3.642912
63.35;France;Brittany35;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.724878;-3.712482
63.36;France;Brittany36;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.725965;-3.782383
63.37;France;Brittany37;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.720010;-3.852753
63.38;France;Brittany38;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.689652;-3.907114
63.39;France;Brittany39;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.728977;-3.944877
63.40;France;Brittany40;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.760103;-3.995620
63.41;France;Brittany41;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.731701;-4.053444
63.42;France;Brittany42;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.705619;-4.110088
63.43;France;Brittany43;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.702114;-4.180303
63.44;France;Brittany44;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.677186;-4.244028
63.45;France;Brittany45;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.683030;-4.316603
63.46;France;Brittany46;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.677575;-4.384457
63.47;France;Brittany47;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.656922;-4.449362
63.48;France;Brittany48;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.647957;-4.515447
63.49;France;Brittany49;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.634701;-4.580351
63.50;France;Brittany50;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.610909;-4.638175
63.51;France;Brittany51;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.584765;-4.698949
63.52;France;Brittany52;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.554701;-4.750873
63.53;France;Brittany53;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.515631;-4.786275
63.54;France;Brittany54;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.470663;-4.785095
